# frequency	phase_space
3.508532e+01	3.269929e+07
3.508532e+01	3.269929e+07
3.509417e+01	3.168507e+07
3.509417e+01	3.168507e+07
3.577624e+01	2.737046e+07
3.577624e+01	2.737046e+07
3.579076e+01	2.780187e+07
3.579076e+01	2.780187e+07
3.930521e+01	2.809008e+07
3.930521e+01	2.809008e+07
3.931324e+01	2.694195e+07
3.931324e+01	2.694195e+07
4.209948e+01	3.691695e+07
4.209948e+01	3.691695e+07
4.210885e+01	2.555630e+07
4.210885e+01	2.555630e+07
4.443249e+01	2.585663e+07
4.443249e+01	2.585663e+07
4.444121e+01	2.601073e+07
4.444121e+01	2.601073e+07
4.464027e+01	2.019346e+07
4.464027e+01	2.019346e+07
4.464578e+01	2.050604e+07
4.464578e+01	2.050604e+07
4.896869e+01	2.494773e+07
4.896869e+01	2.494773e+07
4.897588e+01	2.473094e+07
4.897588e+01	2.473094e+07
4.929461e+01	3.429097e+07
4.929461e+01	3.429097e+07
4.930052e+01	3.031499e+07
4.930052e+01	3.031499e+07
5.399282e+01	2.006488e+07
5.399282e+01	2.006488e+07
5.399969e+01	2.650688e+07
5.399969e+01	2.650688e+07
5.433710e+01	2.904746e+07
5.433710e+01	2.904746e+07
5.434597e+01	2.879204e+07
5.434597e+01	2.879204e+07
5.570490e+01	5.707351e+07
5.570490e+01	5.707351e+07
5.571073e+01	5.567248e+07
5.571073e+01	5.567248e+07
5.663562e+01	7.395614e+07
5.663562e+01	7.395614e+07
5.663616e+01	7.384292e+07
5.663616e+01	7.384291e+07
5.827926e+01	2.322505e+07
5.827926e+01	2.322505e+07
5.828094e+01	2.309170e+07
5.828094e+01	2.309170e+07
6.116306e+01	1.461836e+07
6.116306e+01	1.461836e+07
6.117479e+01	1.369523e+07
6.117479e+01	1.369523e+07
6.117596e+01	1.358714e+07
6.117596e+01	1.358714e+07
6.118691e+01	1.285994e+07
6.118691e+01	1.285994e+07
6.155060e+01	2.093533e+07
6.155060e+01	2.093533e+07
6.157045e+01	1.665330e+07
6.157045e+01	1.665330e+07
9.096378e+01	9.423930e+05
9.096378e+01	9.423930e+05
9.096378e+01	9.423388e+05
9.096378e+01	9.423388e+05
9.107407e+01	2.718926e+06
9.107407e+01	2.718926e+06
9.107407e+01	2.718337e+06
9.107407e+01	2.718337e+06
9.119287e+01	8.632445e+04
9.119287e+01	8.632445e+04
9.119290e+01	8.631931e+04
9.119290e+01	8.631931e+04
9.132081e+01	3.705872e+06
9.132081e+01	3.705872e+06
9.132083e+01	3.707004e+06
9.132083e+01	3.707004e+06
1.161545e+02	5.701862e+05
1.161545e+02	5.701862e+05
1.161545e+02	5.701863e+05
1.161545e+02	5.701863e+05
7.548168e-01	1.270593e+07
8.692685e-01	1.487517e+07
9.118212e-01	1.474501e+07
9.417703e-01	1.546396e+07
9.460014e-01	1.516698e+07
1.516628e+00	3.381887e+07
1.656578e+00	6.737956e+07
2.356849e+00	6.254790e+07
2.580940e+00	4.895303e+07
3.008387e+00	4.148197e+07
3.189128e+00	4.991172e+07
3.241744e+00	6.270419e+07
3.295303e+00	6.561424e+07
3.465662e+00	5.009936e+07
4.134504e+00	6.428026e+07
4.346817e+00	4.954686e+07
4.577251e+00	7.171554e+07
5.075941e+00	6.845509e+07
5.694147e+00	5.973155e+07
5.798791e+00	6.258867e+07
6.007809e+00	6.340375e+07
6.416367e+00	6.736048e+07
6.796246e+00	6.391349e+07
6.848067e+00	7.261146e+07
7.476693e+00	7.692544e+07
8.098082e+00	9.735765e+07
8.197705e+00	6.789274e+07
8.320242e+00	6.897959e+07
8.469805e+00	7.826796e+07
8.524115e+00	7.499074e+07
9.173110e+00	1.337218e+08
9.341359e+00	1.305365e+08
9.429327e+00	1.039066e+08
