degree,orig,x0.5,x2,x4,x10,x20,x50
78.5,0,1.39167E-4,0,0,0,0,0
79.5,0,1.36875E-4,0,0,0,0,0
80.5,0,1.21771E-4,0,0,0,0,0
81.5,0,1.17917E-4,0,0,0,0,0
82.5,0,1.10625E-4,0,0,0,0,0
83.5,0,1.0625E-4,0,0,0,0,0
84.5,0,9.94792E-5,0,0,0,0,0
85.5,0,8.96875E-5,0,0,0,0,0
86.5,0,8.94792E-5,0,0,0,0,0
87.5,0,9.01042E-5,0,0,0,0,0
88.5,0,8.9375E-5,0,0,0,0,0
89.5,0,8.79167E-5,0,0,0,0,0
