# frequency	phase_space
4.463305e+01	2.384506e+07
4.463894e+01	2.541657e+07
4.463894e+01	2.541657e+07
4.897147e+01	2.552575e+07
4.897147e+01	2.552575e+07
4.897848e+01	2.487065e+07
4.897848e+01	2.487065e+07
4.929782e+01	2.088896e+07
4.929782e+01	2.088896e+07
4.930359e+01	2.046118e+07
4.930359e+01	2.046118e+07
5.399968e+01	2.641242e+07
5.399968e+01	2.641242e+07
5.400671e+01	3.132107e+07
5.400671e+01	3.132107e+07
5.434590e+01	1.812991e+07
5.434590e+01	1.812991e+07
5.435502e+01	1.782794e+07
5.435502e+01	1.782794e+07
5.570770e+01	2.701241e+07
5.570770e+01	2.701241e+07
5.571332e+01	2.706571e+07
5.571332e+01	2.706571e+07
5.663722e+01	2.964001e+07
5.663722e+01	2.964001e+07
5.663774e+01	2.972512e+07
5.663774e+01	2.972512e+07
5.828496e+01	3.050587e+07
5.828496e+01	3.050587e+07
5.828678e+01	3.028542e+07
5.828678e+01	3.028542e+07
6.117209e+01	1.508073e+07
6.117209e+01	1.508073e+07
6.117982e+01	1.514286e+07
6.117982e+01	1.514286e+07
6.118116e+01	1.517333e+07
6.118116e+01	1.517333e+07
6.119501e+01	1.551479e+07
6.119501e+01	1.551479e+07
6.155963e+01	1.398146e+07
6.155963e+01	1.398146e+07
6.157856e+01	1.413347e+07
6.157856e+01	1.413347e+07
9.096392e+01	9.174692e+05
9.096392e+01	9.174692e+05
9.096392e+01	9.174178e+05
9.096392e+01	9.174178e+05
9.107426e+01	4.268897e+06
9.107426e+01	4.268897e+06
9.107427e+01	4.268164e+06
9.107427e+01	4.268164e+06
9.119331e+01	8.668405e+05
9.119331e+01	8.668405e+05
9.119333e+01	8.646777e+05
9.119333e+01	8.646777e+05
9.132112e+01	3.003538e+06
9.132112e+01	3.003538e+06
9.132114e+01	3.005232e+06
9.132114e+01	3.005232e+06
1.161548e+02	6.467605e+05
1.161548e+02	6.467605e+05
1.161548e+02	6.467605e+05
1.161548e+02	6.467605e+05
8.149238e-01	7.230787e+06
1.476691e+00	1.124918e+07
1.509699e+00	1.167729e+07
1.964598e+00	1.303583e+07
2.570822e+00	1.664463e+07
3.201249e+00	2.127110e+07
3.248695e+00	2.142514e+07
3.419303e+00	2.591142e+07
3.635488e+00	2.973138e+07
3.872423e+00	2.630115e+07
4.276830e+00	3.949421e+07
4.389905e+00	3.284390e+07
4.517935e+00	2.903256e+07
4.798139e+00	4.150040e+07
5.155320e+00	3.644043e+07
5.536971e+00	3.800306e+07
5.918199e+00	3.988796e+07
6.084929e+00	4.598261e+07
6.634141e+00	4.494745e+07
6.741881e+00	4.969385e+07
6.752963e+00	4.982156e+07
7.395593e+00	4.897603e+07
7.895056e+00	5.858510e+07
8.106307e+00	5.404218e+07
8.135272e+00	6.015438e+07
8.229846e+00	4.816408e+07
8.857433e+00	5.687686e+07
9.024318e+00	6.009752e+07
9.033956e+00	5.727981e+07
9.380411e+00	6.428437e+07
9.443846e+00	5.535872e+07
9.657353e+00	5.780207e+07
9.736238e+00	5.668824e+07
1.042400e+01	5.271758e+07
1.047601e+01	5.221555e+07
1.049008e+01	5.600375e+07
1.064088e+01	5.817037e+07
1.068868e+01	6.090164e+07
1.080994e+01	7.335079e+07
1.137736e+01	5.844182e+07
1.138220e+01	5.862205e+07
1.184319e+01	7.674034e+07
1.228562e+01	7.813798e+07
1.273761e+01	7.561976e+07
1.279869e+01	7.376421e+07
1.292854e+01	6.474159e+07
1.334979e+01	7.177110e+07
1.360918e+01	6.643364e+07
1.384829e+01	1.203657e+08
1.398393e+01	6.763840e+07
1.409040e+01	6.483194e+07
1.432241e+01	6.216175e+07
1.436814e+01	6.101543e+07
1.471613e+01	7.464309e+07
1.472179e+01	6.886746e+07
1.472216e+01	6.881924e+07
1.492456e+01	6.471632e+07
1.537430e+01	7.183215e+07
1.567844e+01	8.373842e+07
1.598612e+01	8.935687e+07
1.653537e+01	8.192358e+07
1.663072e+01	7.871580e+07
1.701852e+01	8.297940e+07
1.706696e+01	7.705353e+07
1.727463e+01	7.805073e+07
1.738597e+01	8.192435e+07
1.752540e+01	8.681023e+07
1.788684e+01	7.848331e+07
1.822565e+01	8.542500e+07
1.835576e+01	8.350379e+07
1.884405e+01	8.767268e+07
1.915355e+01	6.872366e+07
1.934246e+01	7.797938e+07
1.955047e+01	7.739102e+07
1.958031e+01	8.061927e+07
2.001921e+01	8.444602e+07
2.004328e+01	8.811052e+07
2.008237e+01	9.542748e+07
2.058914e+01	9.301725e+07
2.059987e+01	9.109572e+07
2.066778e+01	8.157809e+07
2.180180e+01	8.123316e+07
2.209499e+01	7.462876e+07
2.213734e+01	7.381471e+07
2.255400e+01	8.943341e+07
2.270987e+01	8.438582e+07
2.273798e+01	8.667800e+07
2.287956e+01	8.872044e+07
2.294107e+01	7.327970e+07
2.338792e+01	7.943254e+07
2.348318e+01	8.947228e+07
2.352057e+01	7.912402e+07
2.391918e+01	8.019261e+07
2.427591e+01	1.004763e+08
2.429555e+01	8.118039e+07
2.442416e+01	9.041600e+07
2.448031e+01	9.127619e+07
2.451306e+01	9.069050e+07
2.469488e+01	9.669012e+07
2.487704e+01	8.860044e+07
2.604812e+01	9.564984e+07
2.620627e+01	8.632458e+07
2.620676e+01	8.650550e+07
2.621413e+01	9.054507e+07
2.622152e+01	9.295319e+07
2.624949e+01	9.787308e+07
2.676546e+01	8.772932e+07
2.680190e+01	8.121365e+07
2.683895e+01	9.030152e+07
2.713796e+01	8.367548e+07
2.715646e+01	7.784985e+07
2.725765e+01	7.775930e+07
2.751299e+01	1.095716e+08
2.764886e+01	9.806007e+07
2.786562e+01	7.896535e+07
2.793772e+01	8.597443e+07
2.798086e+01	8.784347e+07
2.818169e+01	8.715842e+07
2.863330e+01	8.804852e+07
2.868760e+01	8.142529e+07
2.882270e+01	1.009447e+08
2.886918e+01	8.164049e+07
2.895131e+01	7.721413e+07
2.900524e+01	8.345019e+07
3.043986e+01	1.185094e+08
3.058706e+01	9.123257e+07
3.076812e+01	8.546799e+07
3.095567e+01	1.251404e+08
3.111611e+01	7.531543e+07
3.127342e+01	7.989960e+07
3.185956e+01	7.002857e+07
3.191342e+01	7.541698e+07
3.193696e+01	8.208498e+07
