time_ps,kappa_avg
5.095,3.75280695
5.1,3.718809415
5.105,3.729756085
5.11,3.769211023
5.115,3.788882285
5.12,3.775885774
5.125,3.748548244
5.13,3.736250446
5.135,3.755225919
5.14,3.779720271
5.145,3.776443338
5.15,3.760631904
5.155,3.761677606
5.16,3.762562402
5.165,3.746829943
5.17,3.739702693
5.175,3.760872999
5.18,3.7868904
5.185,3.790880696
5.19,3.767778874
5.195,3.736397322
5.2,3.734510377
5.205,3.77165374
5.21,3.798047371
5.215,3.775696346
5.22,3.741147407
5.225,3.736552657
5.23,3.750352182
5.235,3.758516144
5.24,3.762479019
5.245,3.763481177
5.25,3.761845386
5.255,3.759739414
5.26,3.749833611
5.265,3.73454408
5.27,3.742339741
5.275,3.773889456
5.28,3.780042852
5.285,3.744475238
5.29,3.713459916
5.295,3.722276271
5.3,3.751244265
5.305,3.76924781
5.31,3.761140839
5.315,3.736804095
5.32,3.727375229
5.325,3.745038647
5.33,3.759410706
5.335,3.753817788
5.34,3.752486412
5.345,3.760892487
5.35,3.753706575
5.355,3.730865124
5.36,3.724706699
5.365,3.745520443
5.37,3.774815812
5.375,3.785467778
5.38,3.762912128
5.385,3.730032108
5.39,3.733613302
5.395,3.771975919
5.4,3.792163009
5.405,3.77544814
5.41,3.755367112
5.415,3.752310012
5.42,3.755876306
5.425,3.762363954
5.43,3.771152423
5.435,3.779695972
5.44,3.789209934
5.445,3.792778421
5.45,3.775595207
5.455,3.758308523
5.46,3.777176553
5.465,3.814163031
5.47,3.818148929
5.475,3.787392251
5.48,3.764016883
5.485,3.768711811
5.49,3.792526789
5.495,3.811788681
5.5,3.806281454
5.505,3.78567455
5.51,3.782905335
5.515,3.796126191
5.52,3.797806464
5.525,3.793268332
5.53,3.80459157
5.535,3.815906896
5.54,3.801200313
5.545,3.774166493
5.55,3.762456248
5.555,3.7763357
5.56,3.804180221
5.565,3.81510637
5.57,3.787789596
5.575,3.755549252
5.58,3.762316528
5.585,3.792910285
5.59,3.803600803
5.595,3.792648823
5.6,3.781351999
5.605,3.772616328
5.61,3.765657073
5.615,3.763340278
5.62,3.76478427
5.625,3.773035571
5.63,3.789114052
5.635,3.788198674
5.64,3.759489161
5.645,3.741375814
5.65,3.765245105
5.655,3.798951286
5.66,3.801773631
5.665,3.779266798
5.67,3.758349249
5.675,3.757218427
5.68,3.776723246
5.685,3.794721291
5.69,3.788980664
5.695,3.776973217
5.7,3.780798987
5.705,3.785570994
5.71,3.777334439
5.715,3.779453967
5.72,3.801852131
5.725,3.816708149
5.73,3.805443938
5.735,3.781804631
5.74,3.769165912
5.745,3.784029811
5.75,3.818282261
5.755,3.8310795
5.76,3.806257375
5.765,3.783285036
5.77,3.794227551
5.775,3.815939574
5.78,3.824070885
5.785,3.824015139
5.79,3.821536886
5.795,3.814298427
5.8,3.806415257
5.805,3.800078911
5.81,3.797963021
5.815,3.813740035
5.82,3.837966544
5.825,3.834278136
5.83,3.801694771
5.835,3.788451945
5.84,3.812106977
5.845,3.839839738
5.85,3.844699893
5.855,3.829644017
5.86,3.809374819
5.865,3.804382019
5.87,3.819577802
5.875,3.829268106
5.88,3.82180204
5.885,3.81885086
5.89,3.825476114
5.895,3.817780161
5.9,3.801734658
5.905,3.806638441
5.91,3.830772208
5.915,3.844991282
5.92,3.836335872
5.925,3.811443226
5.93,3.792203871
5.935,3.804037725
5.94,3.834092862
5.945,3.838942273
5.95,3.81305992
5.955,3.795966321
5.96,3.801321506
5.965,3.810518171
5.97,3.81625859
5.975,3.823343593
5.98,3.826044913
5.985,3.822070638
5.99,3.81279507
5.995,3.797442003
6,3.791376341
6.005,3.812515274
6.01,3.837663219
6.015,3.827565234
6.02,3.795606522
6.025,3.784404298
6.03,3.801669487
6.035,3.823094372
6.04,3.83167259
6.045,3.821127809
6.05,3.803113132
6.055,3.800535176
6.06,3.811515586
6.065,3.813517017
6.07,3.810677002
6.075,3.821280375
6.08,3.829563761
6.085,3.815677235
6.09,3.798664758
6.095,3.805327154
6.1,3.827813013
6.105,3.84513694
6.11,3.842003859
6.115,3.817848186
6.12,3.799320384
6.125,3.814269936
6.13,3.842352404
6.135,3.844905097
6.14,3.828960682
6.145,3.822773884
6.15,3.826174918
6.155,3.828449941
6.16,3.835673099
6.165,3.847987456
6.17,3.85769076
6.175,3.860380929
6.18,3.850536039
6.185,3.829255816
6.19,3.823855458
6.195,3.849679974
6.2,3.872835333
6.205,3.861276355
6.21,3.834260167
6.215,3.825126791
6.22,3.836915334
6.225,3.857016047
6.23,3.868835325
6.235,3.862635225
6.24,3.850785094
6.245,3.85094406
6.25,3.852642561
6.255,3.845536497
6.26,3.847093677
6.265,3.862780569
6.27,3.865678402
6.275,3.844844991
6.28,3.824925611
6.285,3.824827477
6.29,3.842634025
6.295,3.861901126
6.3,3.859946389
6.305,3.833757341
6.31,3.81752938
6.315,3.831518418
6.32,3.849154505
6.325,3.84666687
6.33,3.837361718
6.335,3.832771421
6.34,3.825760418
6.345,3.818678272
6.35,3.81971233
6.355,3.828151731
6.36,3.840117022
6.365,3.848216556
6.37,3.835601256
6.375,3.810300329
6.38,3.808146999
6.385,3.835968195
6.39,3.855912738
6.395,3.846658067
6.4,3.826928002
6.405,3.817698613
6.41,3.824311588
6.415,3.840650691
6.42,3.851612938
6.425,3.848642167
6.43,3.845673009
6.435,3.84803761
6.44,3.843046005
6.445,3.834711108
6.45,3.845038638
6.455,3.867663867
6.46,3.873460041
6.465,3.857141563
6.47,3.839079461
6.475,3.838032493
6.48,3.858083181
6.485,3.882028286
6.49,3.88131672
6.495,3.860464392
6.5,3.852460803
6.505,3.865273526
6.51,3.875485462
6.515,3.876566857
6.52,3.878023751
6.525,3.877208848
6.53,3.869547233
6.535,3.861773416
6.54,3.859739824
6.545,3.867187221
6.55,3.887082015
6.555,3.900210687
6.56,3.88486393
6.565,3.859385136
6.57,3.861063507
6.575,3.885028925
6.58,3.899158128
6.585,3.892912351
6.59,3.877148595
6.595,3.863744991
6.6,3.863419191
6.605,3.874216237
6.61,3.87963
6.615,3.878774511
6.62,3.882634988
6.625,3.883591014
6.63,3.868935268
6.635,3.857368107
6.64,3.869333011
6.645,3.89044388
6.65,3.894637558
6.655,3.878715089
6.66,3.857316538
6.665,3.850692848
6.67,3.867715521
6.675,3.886831828
6.68,3.882931617
6.685,3.866035963
6.69,3.861695148
6.695,3.867068331
6.7,3.869657215
6.705,3.872416046
6.71,3.878596679
6.715,3.880156059
6.72,3.873862868
6.725,3.862233197
6.73,3.852071017
6.735,3.858549655
6.74,3.882187006
6.745,3.893713631
6.75,3.874998046
6.755,3.853158797
6.76,3.855388864
6.765,3.873191007
6.77,3.886001292
6.775,3.886465714
6.78,3.874769032
6.785,3.862184877
6.79,3.861932179
6.795,3.867933393
6.8,3.869606615
6.805,3.875434187
6.81,3.88836917
6.815,3.886950982
6.82,3.867564327
6.825,3.857362071
6.83,3.870951112
6.835,3.890955909
6.84,3.89880167
6.845,3.888028641
6.85,3.867315927
6.855,3.86057742
6.86,3.877945821
6.865,3.89501292
6.87,3.892089799
6.875,3.884354222
6.88,3.884931925
6.885,3.885622645
6.89,3.883968988
6.895,3.889547555
6.9,3.89995739
6.905,3.906483323
6.91,3.903707439
6.915,3.88982784
6.92,3.875702374
6.925,3.88346246
6.93,3.909036493
6.935,3.918973147
6.94,3.903405293
6.945,3.88751022
6.95,3.889278636
6.955,3.902265662
6.96,3.915923406
6.965,3.919830628
6.97,3.911240289
6.975,3.902264573
